Lx,Lz,Ea,Eb,Ec,Ei,Ex,Ez,Gamma,Kappa,2Alfa
3.622,2.518,0.592,-1.103,0.511,1.104,0.57,-1.081,-0.009,-0.23,2.912
3.8,2.102,0.577,-1.137,0.56,1.137,0.576,-1.136,0.048,0.048,3.1
3.901,1.868,0.569,-1.029,0.46,1.03,0.552,-1.011,0.297,0.245,2.933
3.601,2.319,0.549,-0.837,0.288,0.85,0.546,-0.834,0.102,0.157,3.057
3.406,2.209,0.487,-0.775,0.288,0.783,0.455,-0.742,0.149,0.032,2.82
3.206,2.209,0.42,-0.574,0.154,0.594,0.384,-0.538,0.153,0.028,2.761
3,2.335,0.42,-0.826,0.405,0.826,0.411,-0.816,-0.172,-0.172,2.969
3.3,2.319,0.492,-0.952,0.46,0.952,0.486,-0.946,-0.13,-0.13,3.012
3.601,2.11,0.531,-1.017,0.486,1.017,0.531,-1.017,0.067,0.123,3.128
3.606,2.159,0.535,-0.94,0.405,0.943,0.533,-0.938,0.178,0.289,3.066
3.406,2.138,0.481,-0.829,0.348,0.833,0.48,-0.829,0.129,0.247,3.098
3.401,2.474,0.528,-0.816,0.288,0.828,0.489,-0.777,0.216,0.274,2.798
3.423,2.571,0.551,-0.879,0.329,0.889,0.546,-0.874,-0.353,-0.118,3.023
3.302,2.256,0.479,-0.884,0.405,0.885,0.466,-0.872,-0.254,-0.193,2.948
3.015,2.01,0.364,-0.788,0.424,0.789,0.353,-0.777,0,0.199,3.341
3.214,2.452,0.488,-0.856,0.368,0.859,0.485,-0.853,0.112,0.299,3.039
3.214,2.138,0.431,-0.76,0.329,0.762,0.431,-0.759,0.095,0.282,3.182
3.202,2.04,0.406,-0.694,0.288,0.697,0.4,-0.687,0.166,0.229,2.992
3.102,2.452,0.464,-0.841,0.377,0.842,0.454,-0.831,-0.238,-0.173,2.968
2.8,2.202,0.339,-0.731,0.391,0.731,0.334,-0.725,0.045,0.045,2.996
2.608,2.319,0.309,-0.671,0.363,0.672,0.297,-0.66,0.053,0.206,2.922
2.8,2.121,0.315,-0.663,0.348,0.663,0.286,-0.635,0.142,0.142,2.798
2.9,1.942,0.301,-0.619,0.318,0.619,0.281,-0.599,0.207,0.207,2.844
3.002,2.184,0.378,-0.665,0.288,0.667,0.342,-0.63,0.245,0.312,2.771
2.608,2.508,0.346,-0.646,0.3,0.647,0.34,-0.64,-0.003,-0.157,2.985
2.602,2.3,0.293,-0.605,0.312,0.605,0.267,-0.579,0.038,-0.038,2.799
2.752,2.01,0.263,-0.563,0.3,0.563,0.236,-0.537,0.136,0.063,2.782
2.8,2.209,0.325,-0.612,0.288,0.613,0.306,-0.594,0.091,0.091,2.86
2.902,2.209,0.353,-0.628,0.275,0.629,0.351,-0.626,0.056,0.125,3.058
3.002,2.022,0.34,-0.603,0.262,0.604,0.337,-0.599,0.116,0.182,3.024
3.202,2.319,0.456,-0.743,0.288,0.75,0.453,-0.74,-0.161,-0.098,3.043
3.2,2.301,0.453,-0.751,0.298,0.756,0.453,-0.751,-0.022,-0.022,3.12
3.4,2.402,0.517,-0.81,0.293,0.82,0.514,-0.807,0.042,0.042,3.059
3.406,2.305,0.502,-0.79,0.288,0.8,0.499,-0.786,0.006,0.124,3.248
3.3,2.01,0.427,-0.704,0.277,0.709,0.423,-0.7,0.1,0.1,3.027
3.2,2.006,0.397,-0.663,0.267,0.668,0.394,-0.661,0.075,0.075,3.046
3.4,2.508,0.534,-0.83,0.297,0.842,0.532,-0.828,-0.08,-0.08,3.062
3.401,2.209,0.487,-0.793,0.305,0.8,0.483,-0.788,-0.061,-0.12,3.022
3.501,2.2,0.511,-0.825,0.314,0.832,0.508,-0.822,0.029,-0.029,3.047
3.513,2.22,0.516,-0.821,0.305,0.83,0.454,-0.76,0.221,0.05,2.709
3.501,2.04,0.485,-0.773,0.288,0.781,0.463,-0.75,0.226,0.169,2.874
3.4,2.04,0.457,-0.727,0.27,0.735,0.445,-0.715,0.197,0.197,2.937
3.1,2.256,0.42,-0.723,0.303,0.726,0.406,-0.709,-0.223,-0.223,2.918
3.206,2.205,0.439,-0.75,0.311,0.753,0.434,-0.745,-0.006,-0.13,3.011
